Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides UV control-1	Peptides UV-control-2	Peptides UV-control-3	Peptides UV-test-1	Peptides UV-test-2	Razor + unique peptides UV control-1	Razor + unique peptides UV-control-2	Razor + unique peptides UV-control-3	Razor + unique peptides UV-test-1	Razor + unique peptides UV-test-2	Unique peptides UV control-1	Unique peptides UV-control-2	Unique peptides UV-control-3	Unique peptides UV-test-1	Unique peptides UV-test-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type UV control-1	Identification type UV-control-2	Identification type UV-control-3	Identification type UV-test-1	Identification type UV-test-2	Sequence coverage UV control-1 [%]	Sequence coverage UV-control-2 [%]	Sequence coverage UV-control-3 [%]	Sequence coverage UV-test-1 [%]	Sequence coverage UV-test-2 [%]	Intensity	Intensity UV control-1	Intensity UV-control-2	Intensity UV-control-3	Intensity UV-test-1	Intensity UV-test-2	LFQ intensity UV control-1	LFQ intensity UV-control-2	LFQ intensity UV-control-3	LFQ intensity UV-test-1	LFQ intensity UV-test-2	MS/MS count UV control-1	MS/MS count UV-control-2	MS/MS count UV-control-3	MS/MS count UV-test-1	MS/MS count UV-test-2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
ENSMODG00000001917|ENSMODT00000002390	ENSMODG00000001917|ENSMODT00000002390	1	1	1	ENSMODG00000001917|ENSMODT00000002390	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2.1	2.1	2.1	68.374	610	610	0.0074074	5.7237			By MS/MS			0	0	2.1	0	0	83058	0	0	83058	0	0	0	0	1816.1	0	0	0	0	1	0	0	1				61	105	True	112	320	207	207		

ENSMODG00000001992|ENSMODT00000002481	ENSMODG00000001992|ENSMODT00000002481	12	12	10	ENSMODG00000001992|ENSMODT00000002481	1	12	12	10	2	9	10	3	5	2	9	10	3	5	0	8	9	3	3	41.4	41.4	35.9	38.465	343	343	0	115.06	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.5	30	33.8	9.9	18.4	34121000	130350	11886000	18463000	277380	3363400	122370	193080	367450	111540	567880	0	7	5	2	5	19				62	88;237;297;323;351;407;608;792;1038;1048;1189;1470	True;True;True;True;True;True;True;True;True;True;True;True	92;258;323;349;379;440;650;842;1104;1114;1263;1560	248;249;250;251;252;253;708;709;874;875;944;945;946;947;948;949;1029;1030;1156;1157;1158;1159;1690;2234;2235;2236;2822;2823;2845;2846;3251;3252;3970;3971;3972;3973	163;164;165;469;573;618;619;668;753;754;755;1124;1488;1489;1887;1899;2160;2621;2622	164;469;573;618;668;755;1124;1489;1887;1899;2160;2622	49	305

ENSMODG00000002002|ENSMODT00000002493	ENSMODG00000002002|ENSMODT00000002493	5	3	3	ENSMODG00000002002|ENSMODT00000002493	1	5	3	3	2	4	4	0	2	0	3	3	0	0	0	3	3	0	0	15.2	10.2	10.2	42.334	374	374	0	38.838	By matching	By MS/MS	By matching		By matching	5.1	12.6	12.6	0	5.1	1540100	0	990390	549720	0	0	0	13845	11593	0	0	0	3	0	0	0	3				63	297;323;857;948;1037	False;False;True;True;True	323;349;908;1010;1103	874;875;944;945;946;947;948;949;2382;2383;2600;2601;2820;2821	573;618;619;1591;1740;1886	573;618;1591;1740;1886		

ENSMODG00000002144|ENSMODT00000002658	ENSMODG00000002144|ENSMODT00000002658	2	2	2	ENSMODG00000002144|ENSMODT00000002658	1	2	2	2	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	20.8	20.8	20.8	14.564	125	125	0	44.368		By MS/MS				0	20.8	0	0	0	1096400	0	1096400	0	0	0	0	14855	0	0	0	0	2	0	0	0	2				64	534;663	True;True	573;710	1493;1832	985;1227	985;1227		

ENSMODG00000002382|ENSMODT00000002959	ENSMODG00000002382|ENSMODT00000002959	3	3	3	ENSMODG00000002382|ENSMODT00000002959	1	3	3	3	0	3	3	1	1	0	3	3	1	1	0	3	3	1	1	23.6	23.6	23.6	22.133	199	199	0	24.377		By MS/MS	By MS/MS	By matching	By MS/MS	0	23.6	23.6	5	8	4707300	0	2486800	2016000	55605	148940	0	36222	41549	0	0	0	2	2	0	1	5				65	1015;1276;1452	True;True;True	1081;1356;1542	2748;2749;2750;3462;3463;3464;3933;3934	1847;1848;1849;2293;2593	1848;2293;2593		

ENSMODG00000002470|ENSMODT00000003063	ENSMODG00000002470|ENSMODT00000003063	36	36	36	ENSMODG00000002470|ENSMODT00000003063	1	36	36	36	8	25	26	7	22	8	25	26	7	22	8	25	26	7	22	47.6	47.6	47.6	75.602	702	702	0	323.31	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.5	35.6	35.6	13.5	32.6	252180000	320530	111090000	125880000	1571500	13323000	119070	1447300	3135400	121360	2052300	0	14	21	5	25	65				66	24;70;87;91;92;142;143;151;247;260;289;291;292;345;408;461;487;501;502;546;593;594;613;680;681;697;763;768;957;968;1017;1247;1260;1293;1398;1423	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	24;71;90;91;95;96;151;152;161;268;282;314;316;317;318;373;441;442;496;526;540;541;585;635;636;655;656;729;730;746;812;817;1020;1032;1083;1325;1338;1374;1486;1511	61;62;63;64;188;240;241;242;243;244;245;246;247;260;261;262;263;264;265;266;267;268;445;446;447;448;449;471;472;730;731;732;764;765;766;767;851;852;853;855;856;857;858;859;860;861;862;863;1020;1160;1161;1162;1163;1164;1165;1166;1301;1302;1303;1391;1392;1414;1415;1416;1417;1418;1419;1522;1523;1646;1647;1648;1649;1650;1702;1703;1898;1899;1900;1901;1902;1942;1943;2134;2135;2136;2137;2138;2146;2616;2617;2649;2754;2755;2756;2757;3391;3392;3393;3420;3421;3422;3507;3508;3796;3797;3866;3867;3868	45;46;127;159;160;161;162;170;171;172;173;174;285;286;287;305;306;481;482;483;505;506;559;560;562;563;564;565;660;756;757;758;759;760;845;846;847;915;931;932;933;1007;1008;1096;1097;1098;1099;1133;1134;1275;1276;1277;1302;1417;1418;1419;1420;1426;1752;1781;1851;2247;2248;2269;2322;2498;2545;2546	46;127;161;171;172;285;287;306;483;505;560;562;565;660;760;846;915;931;933;1007;1097;1098;1134;1275;1276;1302;1418;1426;1752;1781;1851;2247;2269;2322;2498;2545	50;51;52	343;359;619

ENSMODG00000002647|ENSMODT00000003281	ENSMODG00000002647|ENSMODT00000003281	13	13	1	ENSMODG00000002647|ENSMODT00000003281	1	13	13	1	4	10	8	7	4	4	10	8	7	4	0	1	1	0	0	49.1	49.1	4.5	41.792	375	375	0	224.09	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.3	45.3	38.9	17.1	13.3	48915000	356000	36466000	2122200	8649400	1321200	194260	639020	66341	605560	246400	0	15	2	6	1	24				67	57;171;248;267;306;331;578;579;684;755;918;1319;1337	True;True;True;True;True;True;True;True;True;True;True;True;True	58;181;269;270;290;332;357;358;617;618;619;620;733;804;976;1401;1422	146;147;148;149;150;151;152;518;519;733;734;735;791;792;793;893;894;969;970;971;972;973;1597;1598;1599;1600;1601;1602;1603;1908;2114;2115;2533;3577;3578;3579;3580;3630;3631;3632;3633;3634;3635;3636;3637;3638	101;102;103;339;484;485;520;587;631;632;633;1061;1062;1063;1064;1065;1280;1405;1406;1690;2359;2360;2395;2396;2397	102;339;485;520;587;631;1063;1065;1280;1406;1690;2360;2397	27;28;29;30;31	44;47;305;313;325

ENSMODG00000002705|ENSMODT00000039290;ENSMODG00000002705|ENSMODT00000003349	ENSMODG00000002705|ENSMODT00000039290;ENSMODG00000002705|ENSMODT00000003349	1;1	1;1	1;1	ENSMODG00000002705|ENSMODT00000039290;ENSMODG00000002705|ENSMODT00000003349	2	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	2.8	2.8	2.8	42.315	363	363;465	1	-2		By matching	By MS/MS			0	2.8	2.8	0	0	141250	0	93356	47894	0	0	0	0	1047.2	0	0	0	0	0	0	0	0	+			68	683	True	732	1906;1907	1279	1279	53	133

ENSMODG00000002819|ENSMODT00000003501	ENSMODG00000002819|ENSMODT00000003501	2	2	2	ENSMODG00000002819|ENSMODT00000003501	1	2	2	2	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	8.4	8.4	8.4	31.764	286	286	0	19.499		By MS/MS				0	8.4	0	0	0	332010	0	332010	0	0	0	0	4498.2	0	0	0	0	2	0	0	0	2				69	762;1478	True;True	811;1569	2133;3990	1416;2633	1416;2633		

ENSMODG00000002830|ENSMODT00000003516	ENSMODG00000002830|ENSMODT00000003516	1	1	1	ENSMODG00000002830|ENSMODT00000003516	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	6.2	6.2	6.2	25.109	225	225	0	17.029		By MS/MS		By matching		0	6.2	0	6.2	0	267940	0	243930	0	24011	0	0	0	0	1738.9	0	0	1	0	0	0	1				70	288	True	313	849;850	558	558		

ENSMODG00000003009|ENSMODT00000003736	ENSMODG00000003009|ENSMODT00000003736	1	1	1	ENSMODG00000003009|ENSMODT00000003736	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	6.5	6.5	6.5	24.79	214	214	0	10.455		By MS/MS				0	6.5	0	0	0	124730	0	124730	0	0	0	0	1689.9	0	0	0	0	1	0	0	0	1				71	907	True	963	2510	1674	1674		

ENSMODG00000003030|ENSMODT00000003761	ENSMODG00000003030|ENSMODT00000003761	7	7	7	ENSMODG00000003030|ENSMODT00000003761	1	7	7	7	0	3	5	0	3	0	3	5	0	3	0	3	5	0	3	29	29	29	32.297	307	307	0	90.359		By matching	By MS/MS		By MS/MS	0	16.3	22.8	0	15.6	2529300	0	476760	1864400	0	188130	0	7811.6	39413	0	0	0	0	5	0	2	7				72	27;972;994;1042;1049;1173;1439	True;True;True;True;True;True;True	27;1036;1060;1108;1115;1247;1528	68;2656;2700;2830;2847;2848;3195;3196;3197;3907;3908	49;1786;1813;1891;1900;2122;2573	49;1786;1813;1891;1900;2122;2573	54;55	5;7

ENSMODG00000003146|ENSMODT00000003917	ENSMODG00000003146|ENSMODT00000003917	2	2	2	ENSMODG00000003146|ENSMODT00000003917	1	2	2	2	0	2	2	0	0	0	2	2	0	0	0	2	2	0	0	10.3	10.3	10.3	24.692	214	214	0	14.173		By MS/MS	By MS/MS			0	10.3	10.3	0	0	849740	0	449960	399780	0	0	0	6120	8717.6	0	0	0	1	2	0	0	3				73	222;287	True;True	243;312	666;667;847;848	443;444;557	443;557		

ENSMODG00000003241|ENSMODT00000004034	ENSMODG00000003241|ENSMODT00000004034	2	2	2	ENSMODG00000003241|ENSMODT00000004034	1	2	2	2	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	4.9	4.9	4.9	59.745	553	553	0	11.144				By MS/MS		0	0	0	4.9	0	106730	0	0	0	106730	0	0	0	0	7729.3	0	0	0	0	2	0	2				74	627;1312	True;True	673;1394	1750;3563	1169;2352	1169;2352		

ENSMODG00000003251|ENSMODT00000004047	ENSMODG00000003251|ENSMODT00000004047	1	1	1	ENSMODG00000003251|ENSMODT00000004047	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	2.2	2.2	2.2	51.868	457	457	1	-2					By MS/MS	0	0	0	0	2.2	112030	0	0	0	0	112030	0	0	0	0	21555	0	0	0	0	1	1	+			75	923	True	982	2541	1697	1697	56	1

ENSMODG00000003635|ENSMODT00000004544	ENSMODG00000003635|ENSMODT00000004544	5	5	5	ENSMODG00000003635|ENSMODT00000004544	1	5	5	5	1	3	4	1	3	1	3	4	1	3	1	3	4	1	3	27.3	27.3	27.3	18.199	161	161	0	48.223	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	5.6	16.8	26.1	5.6	12.4	12882000	271320	6483500	3603300	173230	2350900	0	96435	70195	0	0	1	2	3	0	1	7				76	170;772;874;1372;1373	True;True;True;True;True	180;821;925;1459;1460	516;517;2158;2159;2160;2161;2435;3727;3728;3729;3730;3731	337;338;1433;1434;1619;2458;2459	337;1434;1619;2458;2459		

ENSMODG00000003801|ENSMODT00000004754	ENSMODG00000003801|ENSMODT00000004754	1	1	1	ENSMODG00000003801|ENSMODT00000004754	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	2.2	2.2	2.2	78.336	730	730	0	27.29		By MS/MS	By MS/MS		By MS/MS	0	2.2	2.2	0	2.2	2599200	0	98018	1781200	0	720010	0	0	0	0	138540	0	1	1	0	1	3				77	14	True	14	37;38;39;40	29;30;31	29		

ENSMODG00000003838|ENSMODT00000004800	ENSMODG00000003838|ENSMODT00000004800	8	8	8	ENSMODG00000003838|ENSMODT00000004800	1	8	8	8	2	7	6	6	4	2	7	6	6	4	2	7	6	6	4	51.5	51.5	51.5	11.367	103	103	0	59.866	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.4	50.5	49.5	50.5	37.9	102970000	80835	91433000	7025900	3320900	1113700	99030	1207300	177110	184590	259980	0	7	4	4	3	18				78	200;251;252;655;732;1294;1327;1328	True;True;True;True;True;True;True;True	219;273;274;702;781;1375;1411;1412	597;598;599;600;739;740;741;742;743;744;745;746;747;748;749;750;1815;1816;1817;1818;2051;3509;3510;3511;3512;3513;3602;3603;3604;3605	397;398;488;489;490;491;492;493;494;1217;1218;1219;1369;2323;2376;2377;2378;2379	398;488;493;1219;1369;2323;2378;2379	57	85

ENSMODG00000003890|ENSMODT00000004868;ENSMODG00000025356|ENSMODT00000039432	ENSMODG00000003890|ENSMODT00000004868	4;1	4;1	4;1	ENSMODG00000003890|ENSMODT00000004868	2	4	4	4	1	3	3	0	3	1	3	3	0	3	1	3	3	0	3	65.2	65.2	65.2	7.8109	69	69;68	0	36.487	By matching	By matching	By MS/MS		By MS/MS	18.8	46.4	46.4	0	49.3	30454000	97902	17097000	11369000	0	1889400	0	292100	365450	0	186220	0	0	3	0	2	5				79	319;890;1274;1349	True;True;True;True	345;942;1354;1434	930;931;932;2462;2463;3457;3458;3668;3669;3670	610;611;1640;2290;2425	611;1640;2290;2425	58	1

ENSMODG00000004024|ENSMODT00000005055	ENSMODG00000004024|ENSMODT00000005055	2	2	2	ENSMODG00000004024|ENSMODT00000005055	1	2	2	2	0	2	1	0	0	0	2	1	0	0	0	2	1	0	0	23.8	23.8	23.8	13.916	126	126	0	15.771		By MS/MS	By MS/MS			0	23.8	16.7	0	0	702440	0	588020	114420	0	0	0	7966.7	0	0	0	0	2	1	0	0	3				80	414;1399	True;True	448;1487	1181;3798;3799	767;2499;2500	767;2500	59	76

ENSMODG00000004217|ENSMODT00000005306	ENSMODG00000004217|ENSMODT00000005306	14	14	14	ENSMODG00000004217|ENSMODT00000005306	1	14	14	14	0	4	12	2	7	0	4	12	2	7	0	4	12	2	7	26	26	26	46.634	427	427	0	133.22		By matching	By MS/MS	By MS/MS	By MS/MS	0	11.5	18.5	7.5	16.9	113780000	0	676430	107490000	1226800	4382400	0	20331	2499700	0	544540	0	0	11	3	7	21				81	243;254;302;367;389;401;409;460;473;474;475;609;610;644	True;True;True;True;True;True;True;True;True;True;True;True;True;True	264;276;328;395;418;419;433;443;495;511;512;513;651;652;690	720;721;753;754;884;1066;1111;1112;1113;1114;1115;1116;1141;1142;1167;1168;1169;1170;1299;1300;1348;1349;1350;1351;1352;1691;1692;1693;1694;1695;1696;1791	476;496;581;690;722;723;724;725;726;744;745;761;762;844;882;883;884;885;1125;1126;1127;1200	476;496;581;690;723;745;762;844;883;884;885;1125;1127;1200	60;61	193;277

ENSMODG00000004231|ENSMODT00000005325	ENSMODG00000004231|ENSMODT00000005325	2	2	2	ENSMODG00000004231|ENSMODT00000005325	1	2	2	2	0	2	2	0	0	0	2	2	0	0	0	2	2	0	0	23.4	23.4	23.4	17.369	154	154	0	25.448		By MS/MS	By MS/MS			0	23.4	23.4	0	0	2346700	0	1555800	790830	0	0	0	21060	17310	0	0	0	1	2	0	0	3				82	380;1332	True;True	408;1416	1093;1094;3616;3617	707;708;2386	707;2386		

ENSMODG00000004288|ENSMODT00000005395	ENSMODG00000004288|ENSMODT00000005395	1	1	1	ENSMODG00000004288|ENSMODT00000005395	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	3.5	3.5	3.5	31.798	283	283	0	7.2352		By MS/MS	By matching			0	3.5	3.5	0	0	150960	0	123870	27092	0	0	0	0	592.37	0	0	0	1	0	0	0	1				83	545	True	584	1520;1521	1006	1006		

ENSMODG00000004571|ENSMODT00000005753	ENSMODG00000004571|ENSMODT00000005753	2	2	2	ENSMODG00000004571|ENSMODT00000005753	1	2	2	2	0	2	2	0	0	0	2	2	0	0	0	2	2	0	0	19.4	19.4	19.4	17.781	165	165	0	15.685		By MS/MS	By MS/MS			0	19.4	19.4	0	0	1053800	0	804830	248930	0	0	0	10952	5395.4	0	0	0	1	2	0	0	3				84	327;1001	True;True	353;1067	957;958;2714;2715	624;1821;1822	624;1822		

ENSMODG00000004633|ENSMODT00000032654	ENSMODG00000004633|ENSMODT00000032654	1	1	1	ENSMODG00000004633|ENSMODT00000032654	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	2.6	2.6	2.6	75.977	689	689	0	17.78	By matching				By MS/MS	2.6	0	0	0	2.6	141430	29074	0	0	0	112360	0	0	0	0	21619	0	0	0	0	1	1				85	1198	True	1272	3269;3270	2170	2170		

ENSMODG00000004917|ENSMODT00000006179	ENSMODG00000004917|ENSMODT00000006179	2	2	2	ENSMODG00000004917|ENSMODT00000006179	1	2	2	2	0	2	2	0	0	0	2	2	0	0	0	2	2	0	0	2	2	2	161.2	1419	1419	0	15.476		By MS/MS	By matching			0	2	2	0	0	397520	0	277460	120050	0	0	0	4004.6	2379.6	0	0	0	2	0	0	0	2				86	1318;1457	True;True	1400;1547	3575;3576;3942;3943	2358;2600	2358;2600		

ENSMODG00000005050|ENSMODT00000006345	ENSMODG00000005050|ENSMODT00000006345	1	1	1	ENSMODG00000005050|ENSMODT00000006345	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	6.4	6.4	6.4	24.574	218	218	0	6.1023		By matching	By MS/MS		By matching	0	6.4	6.4	0	6.4	6300200	0	3504100	2004900	0	791240	0	0	0	0	152240	0	0	1	0	0	1				87	1188	True	1262	3248;3249;3250	2159	2159	62;63	191;192

ENSMODG00000005083|ENSMODT00000006407	ENSMODG00000005083|ENSMODT00000006407	2	2	2	ENSMODG00000005083|ENSMODT00000006407	1	2	2	2	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	2	2	2	134.56	1207	1207	0	11.118		By MS/MS				0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2				88	12;488	True;True	12;527	31;1393	21;916	21;916		

ENSMODG00000005250|ENSMODT00000006610	ENSMODG00000005250|ENSMODT00000006610	1	1	1	ENSMODG00000005250|ENSMODT00000006610	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	4	4	4	44.238	403	403	0.0038462	5.9461					By MS/MS	0	0	0	0	4	152140	0	0	0	0	152140	0	0	0	0	29273	0	0	0	0	2	2				89	149	True	159	467;468	302;303	303		

ENSMODG00000005290|ENSMODT00000006658	ENSMODG00000005290|ENSMODT00000006658	18	18	18	ENSMODG00000005290|ENSMODT00000006658	1	18	18	18	0	6	9	7	18	0	6	9	7	18	0	6	9	7	18	53.5	53.5	53.5	25.385	230	230	0	221.57		By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	29.6	38.3	26.1	53.5	2106600000	0	9396800	2076500000	3500700	17189000	0	117610	42178000	1082800	5100800	0	2	39	4	17	62				90	193;194;195;264;278;376;463;464;781;1024;1025;1140;1199;1206;1209;1458;1459;1460	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	209;210;211;212;213;214;287;302;404;498;499;500;501;502;830;1090;1091;1214;1273;1280;1283;1548;1549;1550	573;574;575;576;577;578;579;580;581;582;583;584;585;586;777;778;779;780;781;782;783;816;817;818;1087;1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323;1324;2177;2178;2179;2180;2181;2182;2183;2184;2185;2186;2187;2188;2189;2190;2191;2192;2773;2774;2775;2776;2777;3107;3108;3271;3272;3291;3292;3301;3302;3303;3304;3944;3945;3946;3947;3948;3949;3950;3951;3952	381;382;383;384;385;386;387;388;389;390;391;512;513;514;515;516;517;536;702;851;852;853;854;855;856;857;858;859;860;861;862;863;864;865;866;1447;1448;1449;1450;1451;1452;1453;1454;1455;1456;1457;1458;1459;1460;1461;1462;1858;1859;1860;1861;2072;2171;2180;2186;2187;2601;2602;2603;2604;2605;2606;2607;2608	383;388;391;514;536;702;859;862;1449;1858;1860;2072;2171;2180;2186;2603;2607;2608	64;65;66	122;123;125

ENSMODG00000005529|ENSMODT00000007000	ENSMODG00000005529|ENSMODT00000007000	1	1	1	ENSMODG00000005529|ENSMODT00000007000	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	2.9	2.9	2.9	33.287	274	274	0.007326	5.7002		By matching	By MS/MS			0	2.9	2.9	0	0	651080	0	475120	175960	0	0	0	0	3847.4	0	0	0	0	1	0	0	1				91	1040	True	1106	2826;2827	1889	1889		

ENSMODG00000005601|ENSMODT00000007078	ENSMODG00000005601|ENSMODT00000007078	2	1	1	ENSMODG00000005601|ENSMODT00000007078	1	2	1	1	0	1	2	0	1	0	0	1	0	0	0	0	1	0	0	6.8	4	4	36.953	322	322	0	8.0958		By matching	By MS/MS		By matching	0	2.8	6.8	0	2.8	735420	0	0	735420	0	0	0	0	16080	0	0	0	0	2	0	0	2				92	368;1159	False;True	396;1233	1067;1068;1069;3156;3157	691;2097;2098	691;2098		

ENSMODG00000005614|ENSMODT00000007091	ENSMODG00000005614|ENSMODT00000007091	1	1	1	ENSMODG00000005614|ENSMODT00000007091	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	4.2	4.2	4.2	33.778	308	308	0	6.6896		By MS/MS	By matching			0	4.2	4.2	0	0	479120	0	332560	146560	0	0	0	0	3204.7	0	0	0	1	0	0	0	1				93	155	True	165	478;479	310	310		

ENSMODG00000025382|ENSMODT00000039560;ENSMODG00000005932|ENSMODT00000007485	ENSMODG00000025382|ENSMODT00000039560;ENSMODG00000005932|ENSMODT00000007485	2;2	2;2	2;2	ENSMODG00000025382|ENSMODT00000039560;ENSMODG00000005932|ENSMODT00000007485	2	2	2	2	0	2	2	0	0	0	2	2	0	0	0	2	2	0	0	17.4	17.4	17.4	19.712	172	172;172	0	61.912		By MS/MS	By MS/MS			0	17.4	17.4	0	0	2939200	0	2251800	687430	0	0	0	30485	15054	0	0	0	2	2	0	0	4				94	282;654	True;True	306;701	831;832;1813;1814	544;545;1215;1216	545;1216		

ENSMODG00000025684|ENSMODT00000040115;ENSMODG00000007640|ENSMODT00000032128;ENSMODG00000007640|ENSMODT00000009670;ENSMODG00000023675|ENSMODT00000032718;ENSMODG00000005983|ENSMODT00000007550;ENSMODG00000023580|ENSMODT00000032117;ENSMODG00000023677|ENSMODT00000010980	ENSMODG00000025684|ENSMODT00000040115;ENSMODG00000007640|ENSMODT00000032128;ENSMODG00000007640|ENSMODT00000009670;ENSMODG00000023675|ENSMODT00000032718;ENSMODG00000005983|ENSMODT00000007550;ENSMODG00000023580|ENSMODT00000032117;ENSMODG00000023677|ENSMODT00000010980	1;1;1;1;1;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	ENSMODG00000025684|ENSMODT00000040115;ENSMODG00000007640|ENSMODT00000032128;ENSMODG00000007640|ENSMODT00000009670;ENSMODG00000023675|ENSMODT00000032718;ENSMODG00000005983|ENSMODT00000007550;ENSMODG00000023580|ENSMODT00000032117;ENSMODG00000023677|ENSMODT00	7	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	6.9	6.9	6.9	11.378	101	101;115;124;136;136;138;146	0	6.0593		By MS/MS		By MS/MS		0	6.9	0	6.9	0	2504300	0	1131600	0	1372700	0	0	0	0	99413	0	0	1	0	1	0	2				95	1225	True	1300	3333;3334	2208;2209	2209		

ENSMODG00000006040|ENSMODT00000007636	ENSMODG00000006040|ENSMODT00000007636	1	1	1	ENSMODG00000006040|ENSMODT00000007636	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0.6	0.6	0.6	205.39	1754	1754	0	6.8539				By MS/MS		0	0	0	0.6	0	391590	0	0	0	391590	0	0	0	0	28359	0	0	0	0	1	0	1				96	1022	True	1088	2768	1856	1856		

ENSMODG00000006129|ENSMODT00000007746	ENSMODG00000006129|ENSMODT00000007746	3	3	3	ENSMODG00000006129|ENSMODT00000007746	1	3	3	3	0	3	2	0	0	0	3	2	0	0	0	3	2	0	0	6.8	6.8	6.8	49.149	456	456	0	25.926		By MS/MS	By matching			0	6.8	4.4	0	0	1349200	0	1276800	72459	0	0	0	16866	2016	0	0	0	3	0	0	0	3				97	505;978;1350	True;True;True	544;1042;1435	1423;1424;2667;2668;3671	937;1792;2426	937;1792;2426		

ENSMODG00000006139|ENSMODT00000007760	ENSMODG00000006139|ENSMODT00000007760	1	1	1	ENSMODG00000006139|ENSMODT00000007760	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1.1	1.1	1.1	120.37	1042	1042	1	-2		By MS/MS	By matching			0	1.1	1.1	0	0	97103000	0	96960000	142650	0	0	0	0	3119	0	0	0	0	0	0	0	0	+			98	1041	True	1107	2828;2829	1890	1890	67	713

ENSMODG00000006225|ENSMODT00000007873	ENSMODG00000006225|ENSMODT00000007873	1	1	1	ENSMODG00000006225|ENSMODT00000007873	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	10.2	10.2	10.2	14.807	128	128	0	6.5819		By MS/MS	By MS/MS	By MS/MS	By matching	0	10.2	10.2	10.2	10.2	555010	0	309220	106300	100290	39210	0	0	0	0	7544.4	0	1	1	1	0	3				99	63	True	64	168;169;170;171	116;117;118	118		

ENSMODG00000006302|ENSMODT00000007979	ENSMODG00000006302|ENSMODT00000007979	2	2	2	ENSMODG00000006302|ENSMODT00000007979	1	2	2	2	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	6.1	6.1	6.1	59.824	557	557	0	11.822			By MS/MS	By MS/MS		0	0	3.6	2.5	0	429380	0	0	355680	73701	0	0	0	7777	0	0	0	0	1	1	0	2				100	713;888	True;True	762;940	1983;2459	1327;1637	1327;1637	68	1

ENSMODG00000006486|ENSMODT00000008215	ENSMODG00000006486|ENSMODT00000008215	1	1	1	ENSMODG00000006486|ENSMODT00000008215	1	1	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	3	3	3	53.334	473	473	0	7.0263			By MS/MS		By matching	0	0	3	0	3	146690	0	0	125000	0	21687	0	0	0	0	4172.7	0	0	1	0	0	1				101	147	True	157	464;465	300	300		

