Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 2	Peptides Scram	Peptides 4	Peptides 5	Peptides 6	Peptides 7	Peptides A1	Peptides A2	Peptides ALL	Peptides combine	Peptides N1	Peptides N2	Peptides none	Peptides O3	Razor + unique peptides 2	Razor + unique peptides Scram	Razor + unique peptides 4	Razor + unique peptides 5	Razor + unique peptides 6	Razor + unique peptides 7	Razor + unique peptides A1	Razor + unique peptides A2	Razor + unique peptides ALL	Razor + unique peptides combine	Razor + unique peptides N1	Razor + unique peptides N2	Razor + unique peptides none	Razor + unique peptides O3	Unique peptides 2	Unique peptides Scram	Unique peptides 4	Unique peptides 5	Unique peptides 6	Unique peptides 7	Unique peptides A1	Unique peptides A2	Unique peptides ALL	Unique peptides combine	Unique peptides N1	Unique peptides N2	Unique peptides none	Unique peptides O3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 2	Identification type Scram	Identification type 4	Identification type 5	Identification type 6	Identification type 7	Identification type A1	Identification type A2	Identification type ALL	Identification type combine	Identification type N1	Identification type N2	Identification type none	Identification type O3	Sequence coverage 2 [%]	Sequence coverage Scram [%]	Sequence coverage 4 [%]	Sequence coverage 5 [%]	Sequence coverage 6 [%]	Sequence coverage 7 [%]	Sequence coverage A1 [%]	Sequence coverage A2 [%]	Sequence coverage ALL [%]	Sequence coverage combine [%]	Sequence coverage N1 [%]	Sequence coverage N2 [%]	Sequence coverage none [%]	Sequence coverage O3 [%]	Intensity	Intensity 2	Intensity Scram	Intensity 4	Intensity 5	Intensity 6	Intensity 7	Intensity A1	Intensity A2	Intensity ALL	Intensity combine	Intensity N1	Intensity N2	Intensity none	Intensity O3	LFQ intensity 2	LFQ intensity Scram	LFQ intensity 4	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity A1	LFQ intensity A2	LFQ intensity ALL	LFQ intensity combine	LFQ intensity N1	LFQ intensity N2	LFQ intensity none	LFQ intensity O3	MS/MS count 2	MS/MS count Scram	MS/MS count 4	MS/MS count 5	MS/MS count 6	MS/MS count 7	MS/MS count A1	MS/MS count A2	MS/MS count ALL	MS/MS count combine	MS/MS count N1	MS/MS count N2	MS/MS count none	MS/MS count O3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions

ENSMODG00000009270|ENSMODT00000011801	ENSMODG00000009270|ENSMODT00000011801	8	8	8	ENSMODG00000009270|ENSMODT00000011801	1	8	8	8	0	0	1	0	0	0	0	0	1	0	4	5	8	1	0	0	1	0	0	0	0	0	1	0	4	5	8	1	0	0	1	0	0	0	0	0	1	0	4	5	8	1	15	15	15	88.682	791	791	0	21.355			By matching						By matching		By MS/MS	By MS/MS	By MS/MS	By matching	0	0	1.6	0	0	0	0	0	1.6	0	7.1	10	15	0.9	2390600	0	0	12466	0	0	0	0	0	12784	0	527720	611990	1200200	25529	0	0	0	0	0	0	0	0	0	0	665470	1073000	2148000	0	0	0	0	0	0	0	0	0	0	0	1	3	7	0	11				209	190;612;1656;1794;1877;1925;2578;2593	True;True;True;True;True;True;True;True	207;658;1740;1898;1988;2038;2727;2743	2047;2048;2049;6539;6540;17742;17743;17744;19267;19268;19269;19270;20099;20100;20101;20102;20637;20638;27396;27397;27398;27399;27545;27546;27547;27548;27549;27550	1020;2948;7872;8537;8915;8916;9114;9115;12096;12097;12144	1020;2948;7872;8537;8916;9114;12096;12144		

ENSMODG00000009399|ENSMODT00000011965;ENSMODG00000015295|ENSMODT00000019446	ENSMODG00000009399|ENSMODT00000011965;ENSMODG00000015295|ENSMODT00000019446	1;1	1;1	1;1	ENSMODG00000009399|ENSMODT00000011965;ENSMODG00000015295|ENSMODT00000019446	2	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	5.5	5.5	5.5	34.547	307	307;560	0	2.9855	By MS/MS	By MS/MS	By matching						By matching				By matching		5.5	5.5	5.5	0	0	0	0	0	5.5	0	0	0	5.5	0	486970	175580	127520	65836	0	0	0	0	0	67592	0	0	0	50442	0	0	0	0	0	0	0	0	0	0	0	0	0	132760	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1				210	1483	True	1564	15793;15794;15795;15796;15797;15798	7046;7047	7046		

ENSMODG00000009485|ENSMODT00000012078	ENSMODG00000009485|ENSMODT00000012078	3	3	3	ENSMODG00000009485|ENSMODT00000012078	1	3	3	3	2	0	2	2	0	2	1	3	2	0	1	3	2	3	2	0	2	2	0	2	1	3	2	0	1	3	2	3	2	0	2	2	0	2	1	3	2	0	1	3	2	3	22.5	22.5	22.5	16.273	151	151	0	5.3374	By matching		By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS		By matching	By matching	By matching	By MS/MS	15.9	0	15.9	15.9	0	15.9	7.3	22.5	15.9	0	8.6	22.5	15.9	22.5	2707500	79273	0	295370	181860	0	223360	140520	991370	288250	0	59902	101460	58971	287210	86308	0	307130	131220	0	221940	0	257930	279630	0	0	70529	101030	203250	0	0	2	1	0	1	1	2	2	0	0	0	0	2	11				211	575;1136;2392	True;True;True	618;1207;2531	6225;6226;6227;11967;11968;11969;11970;11971;11972;11973;11974;11975;11976;25441;25442;25443;25444;25445;25446;25447;25448;25449;25450;25451	2839;5424;5425;5426;5427;5428;5429;11192;11193;11194;11195	2839;5428;11194		

ENSMODG00000009499|ENSMODT00000012098;ENSMODG00000009521|ENSMODT00000012118	ENSMODG00000009499|ENSMODT00000012098;ENSMODG00000009521|ENSMODT00000012118	1;1	1;1	1;1	ENSMODG00000009499|ENSMODT00000012098;ENSMODG00000009521|ENSMODT00000012118	2	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	2.9	2.9	2.9	44.758	410	410;438	0	10.119			By matching	By matching			By MS/MS	By MS/MS	By matching		By MS/MS	By MS/MS			0	0	2.9	2.9	0	0	2.9	2.9	2.9	0	2.9	2.9	0	0	566730	0	0	13647	11969	0	0	122420	188760	24314	0	76624	129000	0	0	0	0	0	0	0	0	0	0	0	0	0	100100	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	4				212	474	True	510	5180;5181;5182;5183;5184;5185;5186	2387;2388;2389;2390	2388		

ENSMODG00000009522|ENSMODT00000012119	ENSMODG00000009522|ENSMODT00000012119	1	1	1	ENSMODG00000009522|ENSMODT00000012119	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	1	1	0	1	3.5	3.5	3.5	31.338	283	283	0	3.2193		By MS/MS	By matching			By matching		By matching			By matching	By MS/MS		By matching	0	3.5	3.5	0	0	3.5	0	3.5	0	0	3.5	3.5	0	3.5	514440	0	144340	9533.6	0	0	10471	0	119000	0	0	94807	106720	0	29572	0	0	0	0	0	0	0	0	0	0	0	0	0	22881	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2				213	592	True	637	6368;6369;6370;6371;6372;6373;6374	2891;2892	2892		

ENSMODG00000009538|ENSMODT00000032974	ENSMODG00000009538|ENSMODT00000032974	10	10	10	ENSMODG00000009538|ENSMODT00000032974	1	10	10	10	1	1	1	2	0	0	8	10	1	0	10	10	0	9	1	1	1	2	0	0	8	10	1	0	10	10	0	9	1	1	1	2	0	0	8	10	1	0	10	10	0	9	8.7	8.7	8.7	162.29	1536	1536	0	24.419	By matching	By matching	By matching	By matching			By matching	By MS/MS	By matching		By MS/MS	By MS/MS		By matching	0.8	0.8	2	2.7	0	0	6.1	8.7	0.7	0	8.7	8.7	0	6.8	4916100	10967	19600	26492	44879	0	0	544570	1359500	7762.5	0	1361200	1113500	0	427640	0	0	0	185090	0	0	311740	269540	0	0	688440	691140	0	347640	0	0	0	0	0	0	0	2	0	0	6	5	0	0	13				214	406;648;668;1648;1995;2093;2356;2396;2408;2637	True;True;True;True;True;True;True;True;True;True	438;695;719;1732;2110;2216;2494;2535;2547;2790	4501;4502;4503;4504;4505;6863;6864;6865;6866;6867;7190;7191;7192;7193;7194;17654;17655;17656;17657;17658;17659;17660;21426;21427;21428;21429;22512;22513;22514;22515;22516;25088;25089;25090;25091;25092;25480;25481;25482;25483;25484;25562;25563;25564;25565;25566;25567;25568;27993;27994;27995;27996;27997	2105;3069;3252;3253;7840;9457;9458;9900;9901;9902;11025;11217;11249;12340	2105;3069;3253;7840;9457;9900;11025;11217;11249;12340		

ENSMODG00000009809|ENSMODT00000035940	ENSMODG00000009809|ENSMODT00000035940	2	2	2	ENSMODG00000009809|ENSMODT00000035940	1	2	2	2	2	0	2	2	0	2	0	0	2	0	0	0	2	0	2	0	2	2	0	2	0	0	2	0	0	0	2	0	2	0	2	2	0	2	0	0	2	0	0	0	2	0	17.6	17.6	17.6	13.86	125	125	0	3.8712	By MS/MS		By MS/MS	By MS/MS		By matching			By MS/MS				By MS/MS		17.6	0	17.6	17.6	0	17.6	0	0	17.6	0	0	0	17.6	0	1585400	619050	0	254880	298730	0	45891	0	0	207150	0	0	0	159670	0	607510	0	223420	305240	0	90567	0	0	209460	0	0	0	263700	0	3	0	1	2	0	0	0	0	2	0	0	0	2	0	10				215	279;1160	True;True	299;1232	3031;3032;3033;3034;3035;3036;3037;3038;3039;3040;3041;3042;12230;12231;12232;12233;12234;12235;12236	1456;1457;1458;1459;5531;5532;5533;5534;5535;5536	1457;5534		

ENSMODG00000009818|ENSMODT00000012504;ENSMODG00000011301|ENSMODT00000014405;ENSMODG00000004126|ENSMODT00000005186;ENSMODG00000020936|ENSMODT00000028823;CON__H-INV:HIT000292931;ENSMODG00000016731|ENSMODT00000029553;CON__Q61726;ENSMODG00000020936|ENSMODT00000026652;CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;ENSMODG00000020937|ENSMODT00000026653;CON__P78386;CON__Q8N1N4-2;CON__Q7RTT2;ENSMODG00000011125|ENSMODT00000014178;ENSMODG00000016740|ENSMODT00000021268	ENSMODG00000009818|ENSMODT00000012504	39;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	39;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	33;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	ENSMODG00000009818|ENSMODT00000012504	18	39	39	33	35	15	36	37	32	37	28	33	37	4	28	28	30	30	35	15	36	37	32	37	28	33	37	4	28	28	30	30	29	10	30	31	26	31	23	27	31	4	23	23	24	24	79.1	79.1	70.7	52.162	454	454;428;466;437;443;446;479;486;486;493;493;505;507;507;521;521;538;795	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	72.5	31.9	74.4	76.2	70.3	76.2	61.5	65.6	76.2	16.3	61.5	64.8	62.8	68.9	269360000	14733000	2076900	25709000	16526000	9148800	21205000	22382000	83398000	33333000	215680	11530000	6569800	1979200	20553000	10840000	1841600	24032000	12596000	15082000	33436000	14995000	19584000	24851000	11025000	8718200	7149700	4784300	15978000	24	3	30	23	14	26	10	21	25	1	10	10	12	15	224				216	345;400;499;565;566;593;642;670;673;718;994;1111;1193;1194;1363;1366;1415;1416;1507;1520;1567;1578;1611;1612;1615;1616;1681;1813;1912;1974;1996;2001;2076;2233;2277;2385;2493;2501;2755	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	373;432;538;607;608;638;639;688;721;724;775;1062;1181;1267;1268;1441;1444;1496;1497;1589;1590;1603;1650;1661;1694;1695;1698;1699;1700;1765;1766;1917;2025;2088;2111;2116;2198;2365;2411;2524;2638;2647;2910	3825;3826;3827;3828;3829;3830;3831;3832;3833;3834;3835;3836;3837;3838;3839;3840;3841;3842;3843;3844;3845;3846;3847;3848;4463;4464;4465;4466;5456;5457;5458;5459;5460;5461;5462;5463;5464;5465;5466;5467;5468;5469;6130;6131;6132;6133;6134;6135;6136;6137;6138;6139;6140;6141;6142;6143;6144;6145;6146;6147;6375;6376;6377;6378;6379;6380;6381;6382;6383;6384;6385;6386;6387;6388;6389;6390;6391;6392;6393;6394;6395;6396;6397;6398;6399;6400;6401;6402;6784;6785;6786;6787;6788;6789;6790;6791;6792;6793;6794;7216;7217;7218;7219;7220;7221;7222;7223;7224;7225;7226;7227;7228;7229;7242;7243;7244;7245;7246;7247;7248;7249;7250;7251;7252;7253;7254;7255;7670;7671;7672;7673;7674;7675;7676;7677;7678;7679;7680;7681;7682;7683;7684;7685;10556;10557;10558;10559;10560;11704;11705;11706;11707;11708;11709;11710;11711;11712;12550;12551;12552;12553;12554;12555;12556;12557;12558;12559;12560;12561;12562;12563;12564;12565;12566;12567;12568;12569;12570;12571;12572;14381;14382;14383;14384;14385;14386;14417;14418;14419;14420;14421;14422;14423;14424;14425;14426;14427;14428;14429;14430;15040;15041;15042;15043;15044;15045;15046;15047;15048;15049;15050;15051;15052;15053;15054;15055;15056;15057;15058;15059;15060;15061;15062;15063;15064;15065;15066;15067;15068;15069;15070;15071;15072;15073;15074;15075;16094;16095;16096;16097;16098;16099;16100;16101;16102;16103;16104;16105;16106;16107;16108;16109;16110;16111;16112;16113;16114;16252;16253;16254;16255;16256;16257;16258;16259;16260;16261;16262;16263;16264;16265;16266;16267;16268;16269;16270;16271;16812;16813;16814;16815;16816;16817;16818;16819;16820;16821;16822;16823;16824;16825;16963;16964;16965;16966;16967;16968;16969;16970;16971;16972;16973;16974;16975;16976;16977;16978;16979;16980;16981;16982;16983;17273;17274;17275;17276;17277;17278;17279;17280;17281;17282;17283;17284;17285;17286;17287;17288;17289;17290;17291;17292;17293;17294;17295;17296;17297;17298;17299;17300;17301;17302;17303;17304;17305;17306;17331;17332;17333;17334;17335;17336;17337;17338;17339;17340;17341;17342;17343;17344;17345;17346;17347;17348;17349;17350;17351;17352;17353;17354;17355;17356;17357;17358;17359;17977;17978;17979;17980;17981;17982;17983;17984;17985;17986;17987;17988;17989;17990;17991;17992;17993;17994;17995;17996;17997;17998;17999;18000;18001;19452;19453;19454;19455;19456;19457;19458;19459;19460;19461;19462;19463;19464;20486;20487;20488;20489;20490;20491;20492;20493;20494;21165;21166;21167;21168;21169;21170;21171;21172;21173;21174;21175;21430;21431;21432;21433;21434;21435;21436;21437;21438;21439;21440;21441;21442;21443;21498;21499;22381;22382;22383;22384;22385;22386;22387;22388;22389;22390;22391;23887;23888;23889;23890;23891;23892;23893;23894;23895;23896;23897;23898;23899;24313;24314;24315;24316;24317;24318;24319;24320;24321;24322;24323;24324;25356;25357;25358;25359;25360;25361;25362;25363;25364;25365;25366;25367;25368;25369;25370;25371;25372;25373;25374;26506;26507;26508;26509;26510;26511;26512;26513;26514;26515;26516;26517;26518;26519;26585;26586;26587;26588;26589;26590;26591;26592;26593;26594;26595;26596;26597;26598;26599;29107;29108;29109;29110;29111;29112;29113;29114;29115;29116;29117;29118;29119;29120;29121;29122;29123;29124;29125;29126;29127;29128;29129;29130	1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;2087;2088;2089;2090;2510;2511;2512;2513;2514;2515;2516;2517;2518;2803;2804;2805;2806;2893;2894;2895;2896;2897;2898;2899;2900;2901;2902;2903;2904;3037;3038;3039;3040;3041;3042;3043;3044;3045;3267;3268;3269;3270;3271;3272;3273;3274;3279;3280;3281;3282;3283;3284;3285;3286;3287;3288;3473;3474;3475;4756;5304;5305;5306;5307;5308;5309;5310;5311;5671;5672;5673;5674;5675;5676;5677;5678;5679;5680;5681;5682;5683;5684;5685;6453;6454;6471;6472;6705;6706;6707;6708;6709;6710;6711;6712;6713;6714;6715;6716;6717;6718;7193;7194;7195;7196;7197;7198;7199;7276;7277;7278;7279;7280;7281;7282;7283;7284;7478;7479;7480;7481;7482;7563;7564;7565;7566;7567;7568;7569;7570;7571;7572;7573;7574;7575;7576;7577;7578;7712;7713;7714;7715;7716;7717;7718;7730;7731;7732;7733;7734;7735;7736;7737;7738;7739;7740;7971;7972;7973;7974;7975;7976;7977;8625;8626;8627;8628;8629;9070;9071;9072;9073;9074;9075;9345;9459;9460;9461;9481;9865;9866;9867;9868;9869;10518;10519;10700;10701;10702;10703;10704;10705;11144;11145;11146;11147;11148;11149;11150;11151;11152;11153;11685;11686;11687;11688;11708;11709;11710;11711;11712;11713;12818;12819;12820	1827;2089;2517;2803;2806;2900;3038;3267;3288;3473;4756;5308;5676;5685;6453;6472;6714;6718;7197;7277;7480;7573;7712;7717;7731;7739;7976;8625;9075;9345;9459;9481;9867;10519;10705;11149;11686;11712;12818	82;83;84	181;335;379

ENSMODG00000009867|ENSMODT00000012574	ENSMODG00000009867|ENSMODT00000012574	16	16	16	ENSMODG00000009867|ENSMODT00000012574	1	16	16	16	13	9	15	16	11	14	10	12	15	3	0	0	3	9	13	9	15	16	11	14	10	12	15	3	0	0	3	9	13	9	15	16	11	14	10	12	15	3	0	0	3	9	31.1	31.1	31.1	78.966	720	720	0	134.79	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS			By matching	By MS/MS	25	17.9	31.1	31.1	21.7	26	19.4	25.6	31.1	5.1	0	0	4.7	13.5	121860000	19658000	8112900	25253000	17291000	7102000	9936500	3013500	10706000	19325000	185080	0	0	42766	1231100	20381000	9164000	17488000	16519000	17508000	11595000	3966900	4885800	13975000	5712700	0	0	560680	1848600	13	3	15	15	6	11	5	6	14	1	0	0	0	3	92				217	351;458;567;628;914;1465;1592;1597;1885;1926;1931;1934;2129;2430;2431;2747	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	379;493;609;674;982;1546;1675;1680;1996;2039;2040;2045;2048;2257;2258;2571;2572;2902	3914;3915;3916;3917;3918;3919;3920;3921;3922;3923;4982;4983;4984;4985;4986;4987;4988;6148;6149;6150;6151;6152;6153;6154;6155;6156;6157;6662;6663;6664;6665;6666;6667;6668;6669;6670;9709;9710;9711;9712;9713;9714;9715;9716;9717;15589;17081;17082;17083;17084;17085;17086;17087;17088;17089;17090;17091;17092;17093;17094;17095;17096;17097;17147;17148;17149;17150;17151;17152;17153;20186;20187;20188;20189;20639;20640;20641;20642;20643;20644;20645;20646;20647;20648;20649;20650;20651;20652;20653;20654;20655;20706;20707;20708;20709;20710;20711;20712;20713;20714;20715;20716;20731;20732;20733;20734;20735;20736;20737;20738;20739;22850;22851;22852;22853;22854;22855;22856;22857;22858;22859;22860;22861;22862;22863;22864;22865;22866;22867;22868;25765;25766;25767;25768;25769;25770;25771;25772;25773;25774;25775;25776;25777;25778;25779;25780;25781;25782;25783;25784;25785;25786;25787;29014;29015;29016;29017;29018;29019;29020;29021;29022;29023	1855;1856;1857;1858;1859;1860;1861;2283;2807;2808;2809;2810;2811;3000;4373;4374;6938;7620;7621;7622;7623;7624;7625;7626;7627;7628;7629;7630;7631;7632;7656;7657;7658;7659;7660;7661;8938;8939;9116;9117;9118;9119;9120;9121;9122;9123;9124;9125;9145;9146;9147;9148;9149;9150;9151;9152;9153;9162;9163;9164;9165;9166;9167;9168;10053;10054;10055;10056;10057;10058;10059;10060;10061;11334;11335;11336;11337;11338;11339;11340;11341;11342;11343;11344;11345;11346;11347;11348;11349;12771;12772;12773;12774	1861;2283;2807;3000;4374;6938;7625;7657;8938;9123;9149;9164;10054;11337;11349;12772	85;86	128;311

ENSMODG00000009982|ENSMODT00000012726	ENSMODG00000009982|ENSMODT00000012726	2	2	2	ENSMODG00000009982|ENSMODT00000012726	1	2	2	2	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0.8	0.8	0.8	332.5	2883	2883	0	3.3625		By matching		By matching		By matching		By MS/MS			By matching	By MS/MS	By matching		0	0.5	0	0.5	0	0.5	0	0.3	0	0	0.5	0.5	0.5	0	275460	0	25317	0	25274	0	6175.8	0	25260	0	0	113980	67497	11955	0	0	0	0	0	0	0	0	0	0	0	0	0	27965	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				218	1565;1745	True;True	1648;1848	16797;16798;16799;16800;16801;16802;18750	7475;8294	7475;8294		

ENSMODG00000010067|ENSMODT00000044132;ENSMODG00000010067|ENSMODT00000012838	ENSMODG00000010067|ENSMODT00000044132;ENSMODG00000010067|ENSMODT00000012838	8;8	8;8	8;8	ENSMODG00000010067|ENSMODT00000044132;ENSMODG00000010067|ENSMODT00000012838	2	8	8	8	5	1	7	6	3	6	3	6	7	0	4	4	7	5	5	1	7	6	3	6	3	6	7	0	4	4	7	5	5	1	7	6	3	6	3	6	7	0	4	4	7	5	48.3	48.3	48.3	16.06	145	145;157	0	14.237	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.3	9	42.1	41.4	23.4	35.2	17.9	41.4	42.1	0	28.3	26.9	42.1	35.2	9928200	867600	17353	1301700	500690	282190	586690	296900	1715600	1251500	0	837880	465870	707800	1096500	579180	0	1044600	393370	1312600	573910	344040	383090	967470	0	637790	505230	1053200	1336600	1	0	3	1	2	1	1	1	2	0	1	1	5	2	21				219	122;442;568;1108;1559;1796;2086;2569	True;True;True;True;True;True;True;True	131;476;610;1178;1642;1900;2209;2718	1168;1169;1170;1171;1172;1173;1174;1175;1176;1177;1178;1179;4877;6158;6159;6160;6161;6162;6163;6164;6165;6166;6167;6168;6169;6170;11676;11677;11678;11679;11680;11681;11682;11683;11684;11685;11686;16702;16703;16704;16705;16706;16707;16708;16709;16710;16711;16712;19286;19287;19288;19289;19290;19291;19292;22476;22477;22478;22479;22480;22481;27332;27333;27334;27335;27336;27337;27338;27339;27340	564;2241;2812;2813;2814;2815;2816;2817;2818;2819;5286;5287;5288;5289;5290;5291;5292;5293;7434;8546;8547;9890;12074;12075;12076	564;2241;2813;5293;7434;8546;9890;12075		

ENSMODG00000010091|ENSMODT00000012867	ENSMODG00000010091|ENSMODT00000012867	2	2	2	ENSMODG00000010091|ENSMODT00000012867	1	2	2	2	0	0	0	0	0	0	2	2	0	0	0	1	0	1	0	0	0	0	0	0	2	2	0	0	0	1	0	1	0	0	0	0	0	0	2	2	0	0	0	1	0	1	7.2	7.2	7.2	39.555	362	362	0	10.72							By MS/MS	By MS/MS				By matching		By matching	0	0	0	0	0	0	7.2	7.2	0	0	0	3.3	0	3.9	1206900	0	0	0	0	0	0	343600	815390	0	0	0	25898	0	21988	0	0	0	0	0	0	170260	183910	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	3				220	438;1389	True;True	472;1467	4846;4847;4848;4849;14731;14732;14733	2230;2231;6578	2231;6578		

ENSMODG00000010095|ENSMODT00000012874	ENSMODG00000010095|ENSMODT00000012874	2	2	2	ENSMODG00000010095|ENSMODT00000012874	1	2	2	2	2	1	2	2	2	2	1	2	2	1	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	2	1	8	8	8	14.663	137	137	0	5.807	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	8	7.3	8	8	8	8	7.3	8	8	7.3	7.3	7.3	8	7.3	131460000	1554300	12390000	2449500	2796100	74896	5126600	31201000	45414000	12993000	11083	2893500	4107500	269200	10183000	2576500	0	2169500	2763800	961610	10365000	0	5451900	9136900	0	0	0	932240	0	1	1	1	2	1	2	2	2	1	0	1	0	1	1	16				221	771;772	True;True	833;834	8148;8149;8150;8151;8152;8153;8154;8155;8156;8157;8158;8159;8160;8161;8162;8163;8164;8165;8166;8167;8168;8169;8170;8171;8172;8173;8174;8175;8176;8177	3698;3699;3700;3701;3702;3703;3704;3705;3706;3707;3708;3709;3710;3711;3712;3713	3702;3712		

ENSMODG00000010274|ENSMODT00000013113	ENSMODG00000010274|ENSMODT00000013113	7	7	7	ENSMODG00000010274|ENSMODT00000013113	1	7	7	7	5	2	5	5	4	5	3	6	5	0	3	3	5	2	5	2	5	5	4	5	3	6	5	0	3	3	5	2	5	2	5	5	4	5	3	6	5	0	3	3	5	2	53.8	53.8	53.8	12.259	104	104	0	88.841	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	45.2	23.1	45.2	45.2	34.6	45.2	33.7	53.8	45.2	0	33.7	33.7	45.2	23.1	67246000	1112000	24869000	4881700	3194100	146990	1776500	3582800	12004000	3402200	0	4607500	3696000	2949000	1023800	727530	26449000	2058900	1105400	364740	1349400	2572800	1224800	1242300	0	906580	1723100	1919200	1875900	3	3	3	2	0	3	3	6	2	0	2	3	6	2	38				222	43;44;1750;1751;2153;2154;2441	True;True;True;True;True;True;True	47;48;1854;1855;2284;2285;2585	443;444;445;446;447;448;449;450;451;18781;18782;18783;18784;18785;18786;18787;18788;18789;18790;18791;18792;18793;18794;18795;18796;18797;18798;18799;18800;18801;18802;18803;23146;23147;23148;23149;23150;23151;23152;23153;23154;23155;23156;23157;25961;25962;25963;25964;25965;25966;25967;25968;25969;25970;25971;25972;25973;25974;25975;25976;25977;25978;25979;25980	210;211;212;213;214;215;216;217;8304;8305;8306;8307;8308;8309;8310;8311;8312;10203;10204;10205;10206;10207;10208;10209;10210;11451;11452;11453;11454;11455;11456;11457;11458;11459;11460;11461;11462;11463;11464	216;217;8307;8310;10207;10210;11458		

ENSMODG00000010542|ENSMODT00000013454	ENSMODG00000010542|ENSMODT00000013454	5	5	5	ENSMODG00000010542|ENSMODT00000013454	1	5	5	5	1	4	4	3	0	1	2	5	4	0	3	3	4	5	1	4	4	3	0	1	2	5	4	0	3	3	4	5	1	4	4	3	0	1	2	5	4	0	3	3	4	5	38.2	38.2	38.2	26.681	238	238	0	25.485	By matching	By MS/MS	By MS/MS	By matching		By matching	By matching	By MS/MS	By matching		By matching	By MS/MS	By matching	By matching	8.8	34	34	25.2	0	8.8	13	38.2	34	0	24.4	24.4	29.4	38.2	5109600	31480	494390	255800	262530	0	49251	320480	1985200	232190	0	420080	373190	198390	486590	0	272460	239600	252140	0	0	0	647450	210080	0	254580	274710	320330	249910	0	1	1	0	0	0	0	3	0	0	0	1	0	0	6				223	172;380;385;2157;2538	True;True;True;True;True	187;409;414;2288;2687	1844;1845;1846;1847;1848;1849;1850;1851;4197;4198;4199;4200;4201;4202;4203;4204;4205;4206;4252;4253;4254;4255;4256;4257;4258;23179;23180;23181;23182;23183;23184;23185;23186;27035;27036;27037;27038;27039;27040;27041;27042;27043	929;930;1964;1979;10218;10219;11960	929;1964;1979;10219;11960		

